"topics","week"
9,"2009-17"
8,"2009-18"
19,"2009-19"
13,"2009-20"
14,"2009-21"
12,"2009-22"
18,"2009-23"
36,"2009-24"
39,"2009-25"
16,"2009-26"
23,"2009-27"
27,"2009-28"
61,"2009-29"
47,"2009-30"
38,"2009-31"
29,"2009-32"
44,"2009-33"
55,"2009-34"
52,"2009-35"
39,"2009-36"
28,"2009-37"
23,"2009-38"
31,"2009-39"
20,"2009-40"
35,"2009-41"
45,"2009-42"
30,"2009-43"
48,"2009-44"
47,"2009-45"
41,"2009-46"
31,"2009-47"
50,"2009-48"
47,"2009-49"
49,"2009-50"
30,"2009-51"
21,"2009-52"
9,"2010-00"
38,"2010-01"
57,"2010-02"
58,"2010-03"
60,"2010-04"
60,"2010-05"
45,"2010-06"
39,"2010-07"
44,"2010-08"
32,"2010-09"
43,"2010-10"
51,"2010-11"
33,"2010-12"
47,"2010-13"
39,"2010-14"
36,"2010-15"
40,"2010-16"
35,"2010-17"
36,"2010-18"
25,"2010-19"
30,"2010-20"
38,"2010-21"
42,"2010-22"
29,"2010-23"
37,"2010-24"
32,"2010-25"
38,"2010-26"
30,"2010-27"
33,"2010-28"
38,"2010-29"
37,"2010-30"
43,"2010-31"
40,"2010-32"
47,"2010-33"
38,"2010-34"
31,"2010-35"
29,"2010-36"
35,"2010-37"
29,"2010-38"
28,"2010-39"
33,"2010-40"
37,"2010-41"
33,"2010-42"
40,"2010-43"
27,"2010-44"
36,"2010-45"
39,"2010-46"
40,"2010-47"
22,"2010-48"
29,"2010-49"
24,"2010-50"
21,"2010-51"
25,"2010-52"
5,"2011-00"
32,"2011-01"
24,"2011-02"
28,"2011-03"
30,"2011-04"
38,"2011-05"
60,"2011-06"
32,"2011-07"
37,"2011-08"
27,"2011-09"
34,"2011-10"
30,"2011-11"
39,"2011-12"
31,"2011-13"
28,"2011-14"
46,"2011-15"
25,"2011-16"
38,"2011-17"
48,"2011-18"
42,"2011-19"
38,"2011-20"
40,"2011-21"
39,"2011-22"
44,"2011-23"
51,"2011-24"
51,"2011-25"
42,"2011-26"
52,"2011-27"
47,"2011-28"
44,"2011-29"
17,"2011-30"
42,"2011-31"
39,"2011-32"
27,"2011-33"
19,"2011-34"
43,"2011-35"
30,"2011-36"
26,"2011-37"
40,"2011-38"
31,"2011-39"
37,"2011-40"
31,"2011-41"
24,"2011-42"
21,"2011-43"
25,"2011-44"
23,"2011-45"
15,"2011-46"
25,"2011-47"
21,"2011-48"
8,"2011-49"
30,"2011-50"
26,"2011-51"
14,"2011-52"
34,"2012-01"
34,"2012-02"
31,"2012-03"
28,"2012-04"
39,"2012-05"
18,"2012-06"
40,"2012-07"
30,"2012-08"
40,"2012-09"
31,"2012-10"
37,"2012-11"
29,"2012-12"
37,"2012-13"
23,"2012-14"
21,"2012-15"
30,"2012-16"
30,"2012-17"
24,"2012-18"
22,"2012-19"
33,"2012-20"
42,"2012-21"
37,"2012-22"
34,"2012-23"
39,"2012-24"
30,"2012-25"
24,"2012-26"
29,"2012-27"
24,"2012-28"
20,"2012-29"
24,"2012-30"
18,"2012-31"
36,"2012-32"
17,"2012-33"
12,"2012-34"
22,"2012-35"
13,"2012-36"
15,"2012-37"
14,"2012-38"
18,"2012-39"
18,"2012-40"
17,"2012-41"
15,"2012-42"
11,"2012-43"
10,"2012-44"
11,"2012-45"
12,"2012-46"
22,"2012-47"
39,"2012-48"
27,"2012-49"
27,"2012-50"
21,"2012-51"
23,"2012-52"
3,"2012-53"
10,"2013-00"
15,"2013-01"
15,"2013-02"
13,"2013-03"
14,"2013-04"
14,"2013-05"
9,"2013-06"
16,"2013-07"
10,"2013-08"
11,"2013-09"
18,"2013-10"
10,"2013-11"
18,"2013-12"
14,"2013-13"
5,"2013-14"
9,"2013-15"
17,"2013-16"
14,"2013-17"
14,"2013-18"
13,"2013-19"
9,"2013-20"
6,"2013-21"
10,"2013-22"
10,"2013-23"
11,"2013-24"
5,"2013-25"
8,"2013-26"
5,"2013-27"
6,"2013-28"
14,"2013-29"
8,"2013-30"
8,"2013-31"
8,"2013-32"
11,"2013-33"
13,"2013-34"
9,"2013-35"
10,"2013-36"
5,"2013-37"
6,"2013-38"
6,"2013-39"
4,"2013-40"
6,"2013-41"
6,"2013-42"
5,"2013-43"
3,"2013-44"
4,"2013-45"
6,"2013-46"
5,"2013-47"
4,"2013-48"
8,"2013-49"
7,"2013-50"
8,"2013-51"
2,"2013-52"
3,"2014-00"
8,"2014-01"
5,"2014-02"
6,"2014-03"
10,"2014-04"
3,"2014-05"
4,"2014-06"
7,"2014-07"
6,"2014-08"
4,"2014-09"
13,"2014-10"
7,"2014-11"
11,"2014-12"
7,"2014-13"
3,"2014-14"
13,"2014-15"
13,"2014-16"
8,"2014-17"
8,"2014-18"
1,"2014-19"
6,"2014-20"
3,"2014-21"
5,"2014-22"
6,"2014-23"
8,"2014-24"
4,"2014-25"
1,"2014-26"
10,"2014-27"
13,"2014-28"
3,"2014-29"
8,"2014-30"
4,"2014-31"
4,"2014-32"
4,"2014-34"
1,"2014-35"
7,"2014-37"
4,"2014-38"
3,"2014-39"
1,"2014-40"
2,"2014-41"
2,"2014-42"
1,"2014-43"
2,"2014-44"
3,"2014-45"
1,"2014-46"
3,"2014-47"
1,"2014-48"
1,"2014-49"
2,"2014-50"
3,"2014-52"
1,"2015-00"
3,"2015-01"
3,"2015-02"
4,"2015-03"
1,"2015-04"
2,"2015-05"
3,"2015-06"
17,"2015-07"
8,"2015-08"
9,"2015-09"
7,"2015-10"
4,"2015-11"
2,"2015-12"
1,"2015-13"
3,"2015-14"
3,"2015-16"
4,"2015-18"
2,"2015-19"
1,"2015-20"
3,"2015-21"
4,"2015-22"
3,"2015-23"
2,"2015-24"
3,"2015-26"
1,"2015-27"
3,"2015-29"
2,"2015-30"
2,"2015-31"
1,"2015-32"
1,"2015-34"
1,"2015-35"
1,"2015-36"
3,"2015-37"
2,"2015-38"
4,"2015-39"
4,"2015-40"
7,"2015-41"
2,"2015-42"
3,"2015-43"
2,"2015-44"
3,"2015-45"
2,"2015-46"
1,"2015-47"
2,"2015-48"
1,"2015-51"
4,"2015-52"
3,"2016-01"
2,"2016-02"
4,"2016-03"
2,"2016-04"
3,"2016-05"
3,"2016-06"
3,"2016-07"
2,"2016-08"
2,"2016-09"
6,"2016-38"
10,"2016-39"
2,"2016-40"
2,"2016-45"
1,"2016-47"
1,"2016-49"
1,"2016-51"
1,"2017-06"
1,"2018-04"
1,"2019-25"
